TimeStep,ObjectNumber,Orientation,lable,Center_X,Center_Y,divideFlag
1,1,63.25433265269896,1.0,129.86124401913875,52.483253588516746,True
1,2,86.73150691717761,2.0,195.44444444444449,58.953216374269005,False
1,3,-60.70880290643602,3.0,329.0967741935484,84.01612903225806,False
1,4,-12.021291865204638,4.0,239.6078431372549,110.8627450980392,False
1,5,5.908686726854167,5.0,44.38709677419355,136.80645161290323,False
1,6,11.8642259369019,6.0,46.94488188976378,167.82677165354332,False
1,7,-35.88035270710258,7.0,116.49324324324324,171.77702702702703,False
1,8,59.42601427890177,8.0,231.7890625,193.3515625,False
1,9,82.36010114324509,9.0,280.8904109589041,223.65068493150685,False
1,10,66.23517921410317,10.0,267.39166666666665,253.9833333333333,False
1,13,-79.96409408915818,13.0,123.47368421052632,288.2105263157895,False
1,14,60.07672411603584,14.0,149.05405405405406,298.1081081081081,False
1,15,-82.17656531407327,15.0,128.27777777777777,297.9166666666667,False
2,1,63.00488625490449,1.0,126.5897435897436,51.17307692307692,False
2,2,60.26946836635318,1.0,141.02083333333334,58.145833333333336,False
2,3,87.17290224622948,2.0,195.22413793103448,59.13218390804597,False
2,4,-59.1058465072355,3.0,328.9476439790576,84.15183246073299,False
2,5,-11.96083365293927,4.0,239.5960591133005,110.94581280788178,False
2,6,7.29507047384873,5.0,44.193548387096776,136.46774193548387,False
2,7,14.792471931480724,6.0,46.77165354330709,167.748031496063,False
2,8,-35.78829483317485,7.0,116.29931972789116,172.14285714285714,False
2,9,58.90513360831073,8.0,231.8203125,193.546875,False
2,10,82.05861203146941,9.0,280.73825503355704,223.6778523489933,False
2,11,59.13563271494077,10.0,275.0245901639344,258.5081967213115,False
2,12,-78.14146705721582,13.0,131.51677852348993,286.7046979865772,False
2,13,64.96569089651051,14.0,148.85294117647058,298.1617647058824,False
2,14,-80.00966766854793,15.0,126.48148148148148,298.25925925925924,False
3,1,63.63959657645044,1.0,129.73658536585367,52.79024390243902,False
3,2,86.30519572432215,2.0,195.54597701149424,59.235632183908045,False
3,3,-60.28678681039597,3.0,328.65945945945947,84.41621621621621,False
3,4,-11.78793977331604,4.0,239.54228855721396,111.12437810945272,False
3,5,8.900103850325678,5.0,44.2520325203252,136.52845528455285,False
3,6,15.770774134581472,6.0,46.72307692307693,167.93076923076924,False
3,7,-35.030679882140504,7.0,116.13986013986012,172.5944055944056,False
3,8,59.79772884804274,8.0,231.8780487804878,193.65853658536585,False
3,9,82.65441752255077,9.0,280.7054794520548,223.62328767123287,False
3,10,59.51654630597836,10.0,275.07563025210084,258.52941176470586,False
3,11,-78.0573188022914,13.0,131.9857142857143,286.6642857142857,True
3,12,62.083279369647606,14.0,149.11940298507463,298.1641791044776,False
3,13,-81.27702347933439,15.0,125.70370370370372,298.3703703703704,False
4,1,63.82390138273944,1.0,130.19402985074626,53.233830845771145,True
4,2,86.21662099917596,2.0,195.3216374269006,59.68421052631579,False
4,3,-60.73771120716769,3.0,328.8804347826087,84.625,False
4,4,-11.565325890162686,4.0,239.5929648241206,111.41708542713567,False
4,5,10.208214809608547,5.0,44.21875,136.578125,False
4,6,17.302686851351687,6.0,47.06106870229008,168.25954198473283,False
4,7,-34.04595261327381,7.0,116.26618705035972,172.71223021582733,False
4,8,59.58995557211233,8.0,232.032,193.992,False
4,9,80.43608724077517,9.0,281.0326797385621,223.9607843137255,False
4,10,59.81939262253898,10.0,275.17903930131007,258.9257641921397,True
4,11,-71.14289569227402,13.0,146.6909090909091,284.0181818181818,False
4,13,-77.99523442471867,13.0,119.38709677419357,289.4516129032258,False
4,14,64.15807312775344,14.0,149.03030303030303,298.3484848484849,False
4,15,-72.89887828636401,15.0,125.6896551724138,298.7241379310345,False
5,1,63.67091328225203,1.0,124.175,50.63333333333333,False
5,2,64.01286828077608,1.0,138.88235294117646,57.41176470588236,False
5,3,85.95519557968593,2.0,195.3428571428572,59.72,False
5,4,-59.606566466784365,3.0,328.5464480874317,84.78142076502732,False
5,5,-11.965061145988336,4.0,239.5685279187817,111.8477157360406,True
5,6,12.490107035567418,5.0,44.203125,136.15625,False
5,7,17.72273308829265,6.0,47.01526717557252,168.587786259542,False
5,8,-34.18383594469967,7.0,116.136690647482,172.86330935251797,False
5,9,60.41313448135793,8.0,232.056,194.088,False
5,10,80.5530297543214,9.0,281.1275167785235,224.0738255033557,False
5,11,64.28385810410514,10.0,266.1186440677966,253.83898305084745,False
5,12,51.86657542782101,10.0,283.85470085470087,263.8974358974359,False
5,13,-69.92279375789352,13.0,147.6153846153846,283.34615384615387,False
5,14,-80.30033610634862,13.0,119.4,289.51666666666665,False
5,17,62.79225801765199,14.0,149.11267605633802,298.5211267605634,False
5,18,-77.96327803443107,15.0,126.5,298.7352941176471,False
6,1,65.32889851302625,1.0,130.74761904761905,53.74761904761905,True
6,2,85.81612838132483,2.0,195.83333333333331,60.00555555555555,False
6,3,-58.92184414432853,3.0,328.7704918032787,85.08196721311475,False
6,4,-11.531256732846357,4.0,241.21186440677965,104.08474576271186,False
6,5,-15.341904190183303,4.0,237.0909090909091,124.2077922077922,False
6,6,13.58433241923972,5.0,43.97674418604651,135.69767441860466,False
6,7,19.526600347538928,6.0,47.25563909774437,168.45112781954887,False
6,8,-34.40656550784893,7.0,116.36054421768708,173.12925170068027,False
6,9,60.42853214208469,8.0,232.03225806451613,194.1693548387097,False
6,10,80.4756211414721,9.0,281.3092105263158,224.19078947368425,False
6,11,66.0997972431804,10.0,266.05128205128204,254.04273504273505,False
6,12,50.43241587885219,10.0,284.3826086956521,264.37391304347824,False
6,13,-71.32314683846404,13.0,148.82,283.24,True
6,14,-79.2963779211608,13.0,121.36986301369863,289.5342465753425,True
6,15,59.08572791845632,14.0,149.25714285714287,298.7142857142857,False
6,16,-80.7461420044632,15.0,126.28205128205128,299.15384615384613,False
7,1,64.56754228343472,1.0,126.33557046979864,51.91946308724832,False
